xpAmount	calc	newXpAmount	WeenieClassNameOrQuestName	WeenieClassId	EmoteCategory	SourceWeenieId	SourceWeenieClassName	DroppedBy
500	2,260	-1007	rattailbrown	3682	6	3917, 3918, 3920, 5122, 8229, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, nantowashi, xaracollector, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Brown Rat(ratbrown - level: 7),
750	2,260	-1007	siraluunclawtidal-xp	11369	6	11347, 29858	redspirecollector_xp, timarucrafterarenura	Tidal Siraluun(siraluuntidal_xp - level: 7),
1,000	3,220	-1009	aurochhorn	266	6	2607, 3925, 3926, 3931, 3932, 24216, 24575, 30443	glendenwoodalchemist, crafterivoryaluvian, crafterivorygharundim, trophysmithgharundim, trophysmithsho, trophysmithblackhill, crafterivorycandethkeep, crafterivoryviamontian	Auroch Bull(aurochbull - level: 9),Auroch Fire Yearling(aurochfireyearling - level: 9),Auroch Fire Cow(aurochfirecow - level: 18),Auroch Bull(aurochravager - level: 9),
500	3,220	-1009	golemheartmud-xp	11351	6	3921, 3931, 3932, 11345, 24216, 24574	collectorstonegharundim, trophysmithgharundim, trophysmithsho, bluespirecollector_xp, trophysmithblackhill, collectorstonecandethkeep	Mud Golem(golemmud - level: 9),Small Mud Golem(golemmudmini - level: 105),Mud Golem Sludge Lord(golemmudsludgelord - level: 18),
750	3,220	-1009	golemheartwater-xp	11354	6	3921, 3931, 3932, 11347, 24216, 24574	collectorstonegharundim, trophysmithgharundim, trophysmithsho, redspirecollector_xp, trophysmithblackhill, collectorstonecandethkeep	Water Golem(golemwater - level: 9),Small Water Golem(golemwatermini - level: 95),Water Golem(golemwater_nofall - level: 9),
500	3,220	-1009	shrethhidesmall	8658	6	24576, 4213, 4214, 4215, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterviamontian	Blood Shreth(shrethblood - level: 9),
500	3,220	-1009	towelmuddy	10759	6	24576, 3917, 3918, 3920, 4213, 4214, 4215, 21338, 24215, 24573, 30444	leathercraftercandethkeep, collectoraluvian, collectorgharundim, collectorsho, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep, leathercrafterviamontian	Mud Golem(golemmud - level: 9),Small Mud Golem(golemmudmini - level: 105),Iron Golem Kingpin(golemironkingpin - level: 35),Mud Golem Sludge Lord(golemmudsludgelord - level: 18),
750	3,220	-1009	towelwet	10760	6	24576, 3917, 3918, 3920, 4213, 4214, 4215, 21338, 24215, 24573, 30444	leathercraftercandethkeep, collectoraluvian, collectorgharundim, collectorsho, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep, leathercrafterviamontian	Water Golem(golemwater - level: 9),Small Water Golem(golemwatermini - level: 95),Water Golem(golemwater_nofall - level: 9),
1,000	3,220	-1009	waspwingblue	3699	6	3917, 3918, 3920, 3923, 3924, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, collectorwingaluvian, collectorwingsho, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Reward Backpack for Martine Live Ops(backpackmartinelo - level: 0),Blue Phyntos Wasp(phyntoswaspblue - level: 9),Blue Phyntos Wasp(phyntoswaspblue_nofall - level: 9),
1,000	3,750	-1010	niffisshellsmall	10704	6	24576, 3925, 3926, 4213, 4214, 4215, 24575, 30443, 30444	leathercraftercandethkeep, crafterivoryaluvian, crafterivorygharundim, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, crafterivorycandethkeep, crafterivoryviamontian, leathercrafterviamontian	Parfal Niffis(niffisparfal - level: 14),Listris Niffis(niffislistris - level: 18),Parfal Niffis(niffisparfalfishingevent - level: 10),
1,000	4,320	-1011	golemheartwood	3673	6	3921, 3931, 3932, 24216, 24574	collectorstonegharundim, trophysmithgharundim, trophysmithsho, trophysmithblackhill, collectorstonecandethkeep	Wood Golem(golemwood - level: 11),Baby Wood Golem(golemwoodsmall - level: 126),Forest Lord(golemlowbossmonster - level: 21),Small Wood Golem(golemwoodmini - level: 110),
1,500	4,320	-1011	gromniehide	4236	6	24576, 4213, 4214, 4215, 5898, 8654, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterneydisacastle, leathercrafterpoacher, leathercrafterviamontian	Aun Ralirea(tumerokchampionralirea_xp - level: 85),Ivory Gromnie(gromnieivory - level: 11),Adolescent Ivory Gromnie(gromnieivoryadolescent - level: 161),
500	4,320	-1011	gromniehidethin	4235	6	24576, 4213, 4214, 4215, 5898, 8654, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterneydisacastle, leathercrafterpoacher, leathercrafterviamontian	Aun Ralirea(tumerokchampionralirea_xp - level: 85),Azure Gromnie(gromnieazure - level: 11),Adolescent Azure Gromnie(gromnieazureadolescent - level: 161),
500	4,320	-1011	gromnietoothazure	28205	6	3925, 3926, 24575, 30443	crafterivoryaluvian, crafterivorygharundim, crafterivorycandethkeep, crafterivoryviamontian	Azure Gromnie(gromnieazure - level: 11),Adolescent Azure Gromnie(gromnieazureadolescent - level: 161),
1,000	4,320	-1011	gromnietoothivory	3675	6	3925, 3926, 24575, 30443	crafterivoryaluvian, crafterivorygharundim, crafterivorycandethkeep, crafterivoryviamontian	Ivory Gromnie(gromnieivory - level: 11),Adolescent Ivory Gromnie(gromnieivoryadolescent - level: 161),
1,000	4,320	-1011	mattekarhidesmall	4240	6	24576, 4213, 4214, 4215, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterviamontian	Aun Ralirea(tumerokchampionralirea_xp - level: 85),White Mattekar(mattekarwhite - level: 11),Snowy Mattekar(mattekarsnowy - level: 14),Frost Mattekar(mattekarfrore - level: 94),Snowy Mattekar(mattekararctic - level: 14),
2,500	4,320	-1011	stoneswamp	3694	6	3917, 3918, 3920, 3921, 21338, 24215, 24573, 24574	collectoraluvian, collectorgharundim, collectorsho, collectorstonegharundim, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep, collectorstonecandethkeep	Backpack(backpackhouse - level: 0),Mosswart Chief(mosswartchief - level: 26),Mudlurk Mosswart(mosswartmudlurk - level: 14),Mosswart Mucker(mosswartmuckerice - level: 11),Mosswart Mucker(mosswartmuckeracid - level: 11),Mosswart Shaman(mosswartshaman - level: 18),Mosswart Baby(mosswartsmall - level: 126),Mosswart Mire-Witch(mosswartmirewitch - level: 70),Mosswart Clinger(mosswartclinger - level: 67),Mosswart Swamp Lord(mosswartswamplord - level: 95),Mosswart Fanatic(mosswartfanatic - level: 28),Mosswart Idolator(mosswartidolater - level: 28),Mosswart Zealot(mosswartzealot - level: 44),Mosswart Soul Trapper(mosswartsoultrapper - level: 44),Mosswart Baby(mosswartdancingsteele - level: 11),Mosswart Mire-Witch(mosswartmirewitchmartine - level: 70),Gragghk(mosswartswamplordmartine - level: 90),Swamp King(mosswarthighbossmonster - level: 105),Master of the Swamp(mosswartlowbossmonster - level: 28),Bleeargh(mosswartvagrantmidlo - level: 95),Mosswart Cringer(mosswartcringer - level: 85),Mosswart Muck Stalker(mosswartmuckstalker - level: 79),
1,000	4,320	-1011	wispheartlow	8668	6	8654	leathercrafterpoacher	Ghost Wisp(wispghost - level: 11),Dark Wisp(wispdark - level: 18),
3,000	4,920	-1012	gromniehidejade	28202	6	24576, 4213, 4214, 4215, 5898, 8654, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterneydisacastle, leathercrafterpoacher, leathercrafterviamontian	Jade Gromnie(gromniejade - level: 12),
5,000	4,920	-1012	gromniehidethick	4237	6	24576, 4213, 4214, 4215, 5898, 8654, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterneydisacastle, leathercrafterpoacher, leathercrafterviamontian	Aun Ralirea(tumerokchampionralirea_xp - level: 85),Swamp Gromnie(gromnieswamp - level: 12),Sable Gromnie(golemsmall-xp - level: 70),
2,000	4,920	-1012	gromnietoothjade	3676	6	3925, 3926, 24575, 30443	crafterivoryaluvian, crafterivorygharundim, crafterivorycandethkeep, crafterivoryviamontian	Jade Gromnie(gromniejade - level: 12),
3,500	4,920	-1012	gromnietoothswamp	3677	6	3925, 3926, 24575, 30443	crafterivoryaluvian, crafterivorygharundim, crafterivorycandethkeep, crafterivoryviamontian	Swamp Gromnie(gromnieswamp - level: 12),
1,000	4,920	-1012	rattailblack	3681	6	3917, 3918, 3920, 5122, 8229, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, nantowashi, xaracollector, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Black Rat(ratblack - level: 12),Black Rat(rayjoey - level: 12),Black Rat(ratdeedee - level: 12),Black Rat(ratjoey - level: 12),
1,000	4,920	-1012	rattailred	3684	6	3917, 3918, 3920, 5122, 8229, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, nantowashi, xaracollector, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Red Rat(ratred - level: 12),
1,000	4,920	-1012	reedsharkhide	4239	6	24576, 4213, 4214, 4215, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterviamontian	Reedshark Elder(reedsharkelder - level: 14),Adult Reedshark(reedshark - level: 12),Veteran Reedshark(reedsharkveteran - level: 14),Alfrega the Reedshark(reedsharkalfrega - level: 12),Master of the Pack(reedsharkbossmonster - level: 18),
1,000	4,920	-1012	shrethhide	8656	6	24576, 4213, 4214, 4215, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterviamontian	Hunter Shreth(shrethhunter - level: 12),
1,250	4,920	-1012	waspwingmire	3702	6	3917, 3918, 3920, 3923, 3924, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, collectorwingaluvian, collectorwingsho, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Mire Phyntos Wasp(phyntoswaspmire - level: 12),
3,000	6,230	-1014	banderlingscalp	3693	6	3917, 3918, 3920, 3921, 21338, 24215, 24573, 24574	collectoraluvian, collectorgharundim, collectorsho, collectorstonegharundim, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep, collectorstonecandethkeep	Banderling Raver(banderlingraver - level: 14),Banderling Captain(banderlingcaptain - level: 14),Banderling Raider(banderlingraider - level: 14),Banderling Ogre(banderlingguardglenden - level: 21),Banderling Blade(banderlingyoungglenden - level: 19),Banderling Breeder(banderlingbreeder - level: 14),Banderling Chief(banderlingchief - level: 18),Banderling Captain(banderlingcaptainmageacademy - level: 14),Banderling Berserker(banderlingberserker - level: 70),Banderling Thrasher(banderlingthrasher - level: 105),Banderling Ogre(banderlingogre - level: 21),Banderling Mauler(banderlingmauler - level: 85),Banderling Striker(banderlingbasher - level: 62),Banderling Enforcer(banderlinghunter - level: 105),Banderling Blade(banderlingblade - level: 19),Banderling Mangler(banderlingmangler - level: 85),Banderling Striker(banderlingstriker - level: 53),Banderling Enforcer(banderlingenforcer - level: 105),Banderling Leader(banderlingbossmonster - level: 18),Banderling Hierophant(banderlingheirophant - level: 161),Banderling Paragon(banderlingparagon - level: 161),Withered Banderling Hierophant(banderlingheirophantwithered - level: 161),Withered Banderling Hierophant(banderlingheirophantwitheredboss - level: 161),Withered Banderling Paragon(banderlingaggressorwithered - level: 161),Banished Banderling(banderlingbossmid0205 - level: 85),
2,500	6,230	-1014	banderlingscalp	3693	6	8229	xaracollector	Banderling Raver(banderlingraver - level: 14),Banderling Captain(banderlingcaptain - level: 14),Banderling Raider(banderlingraider - level: 14),Banderling Ogre(banderlingguardglenden - level: 21),Banderling Blade(banderlingyoungglenden - level: 19),Banderling Breeder(banderlingbreeder - level: 14),Banderling Chief(banderlingchief - level: 18),Banderling Captain(banderlingcaptainmageacademy - level: 14),Banderling Berserker(banderlingberserker - level: 70),Banderling Thrasher(banderlingthrasher - level: 105),Banderling Ogre(banderlingogre - level: 21),Banderling Mauler(banderlingmauler - level: 85),Banderling Striker(banderlingbasher - level: 62),Banderling Enforcer(banderlinghunter - level: 105),Banderling Blade(banderlingblade - level: 19),Banderling Mangler(banderlingmangler - level: 85),Banderling Striker(banderlingstriker - level: 53),Banderling Enforcer(banderlingenforcer - level: 105),Banderling Leader(banderlingbossmonster - level: 18),Banderling Hierophant(banderlingheirophant - level: 161),Banderling Paragon(banderlingparagon - level: 161),Withered Banderling Hierophant(banderlingheirophantwithered - level: 161),Withered Banderling Hierophant(banderlingheirophantwitheredboss - level: 161),Withered Banderling Paragon(banderlingaggressorwithered - level: 161),Banished Banderling(banderlingbossmid0205 - level: 85),
1,000	6,230	-1014	sclavushidesmall	9260	6	24576, 4213, 4214, 4215, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterviamontian	Se Sclavus(sclavusse - level: 14),Aste Sclavus(sclavusaste - level: 18),
1,000	6,230	-1014	skull	3687	6	3925, 3926, 24575, 30443	crafterivoryaluvian, crafterivorygharundim, crafterivorycandethkeep, crafterivoryviamontian	Skeleton Warrior(skeletonwarrior - level: 18),Skeleton Captain(skeletoncaptain - level: 21),Skeleton Lord(skeletonlord - level: 35),Guardian of the Crypt(skeletonguardian - level: 18),Lord Kelannik(skeletonlordburialtemple - level: 49),Charred Skeleton(skeletoncharred - level: 14),Seared Skeleton(skeletonseared - level: 21),Foreman Brelax(skeletonbrelax - level: 34),Impious Occasus Guardian(skeletonimpioussw - level: 44),Impious Superna Guardian(skeletonimpiousne - level: 44),Impious Inferus Guardian(skeletonimpiousse - level: 44),Impious Mortuus Guardian(skeletonimpiousnw - level: 44),Skeleton Lord(skeletoncaptaincrimsonruby1 - level: 45),Skeleton Lord(skeletonlordcrimsonruby5 - level: 45),Skeleton Lord(skeletonwarriorcrimsonruby4 - level: 45),Skeleton Bone Lord(skeletonbonelord - level: 70),Great Skeleton(skeletongreat - level: 95),Cursed Bones(skeletoncursedbones - level: 85),Relic Bones(skeletonrelicbones - level: 79),Skeleton Bone Knight(skeletonboneknight - level: 61),Relic Watchman(relicbonesportal - level: 95),Skeleton Captain(skeletoncaptain-nofall - level: 21),Skeleton Warrior(skeletonwarrior_nofall - level: 18),Ashen Bones(skeletonashenbones - level: 79),Skeleton Captain(skeletoncaptainsoulfearing_melee - level: 21),Skeleton Lord(skeletonlord_melee - level: 35),Relic Bones(skeletonrelicbonesmeditate - level: 167),Ashen Bones(skeletonashenbonesmeditate - level: 79),Cursed Bones(skeletoncursedbonesmeditate - level: 85),Fleshless Warrior(skeletonfleshlesswarrior - level: 79),Dark Myrmidon(skeletonhighbossmonster - level: 85),Lord of Decay(skeletonlowbossmonster - level: 28),Relic Bones(skeletonrelicbones_noaggro - level: 79),Champion of the Blood(skeletonrelicgelid_nofall - level: 79),Foreman Brelax(skeletonbrelaxnew - level: 278),Lord Cambarth(skeletoncambarthnew - level: 278),Charred Miner(skeletoncharrednew - level: 140),Seared Guard(skeletonsearednew - level: 167),Skeleton Wraith(skeletonwraith - level: 44),Armored Skeleton(skeletonarmored - level: 100),Skeletal Champion(skeletonchampion - level: 105),Skeletal Mate(skeletonmate - level: 120),Armored Skeleton Lord(skeletonarmoredlord - level: 125),Skeletal Fiend(skeletonfiend - level: 120),Skeleton Lord(skeletonlordarcher - level: 35),
2,500	7,680	-1016	keyfenmalain	8020	6	3917, 3918, 3920, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Shadow Child(shadowchild - level: 16),Shadow(shadow - level: 26),Shadow(shadownofall - level: 26),Devious Shadow(shadowdevious - level: 32),
100	300,000	0	nannerbunch	22578	6	22500, 22640	tuskerkingnpc, mayoroolutanga	Male Tusker(tuskermale - level: 21),Goldenback Tusker(tuskergoldenback - level: 28),Female Tusker(tuskerfemale - level: 18),Tusker Crimsonback(tuskercrimsonback - level: 26),Tusker Slave(tuskerslave - level: 79),Tusker Guard(tuskerguard - level: 85),Female Tusker(tuskerfemaledancer - level: 16),Goldenback Tusker(tuskergoldenbackdancer - level: 27),Albino Tusker(tuskeralbino - level: 27),Silver Tusker(tuskersilver - level: 90),Silver Tusker(tuskersilverherald - level: 120),Rampager(tuskerrampager - level: 95),Rampager(tuskerrampagersummoned - level: 95),Armored Tusker(tuskerarmored_xp - level: 95),Plated Tusker(tuskerplated_xp - level: 105),Rampager(tuskerrampager_nofall - level: 95),Tusker Guard(tuskerguard_noxp - level: 85),Rampager(tuskerrampager-nofall-noxp - level: 95),Assailer(tuskerassailer - level: 115),Annihilator(tuskerannihilator - level: 285),Devastator(tuskerdevastator - level: 145),Tusker Liberator(tuskerliberator - level: 70),Tusker Redeemer(tuskerredeemer - level: 61),Tuskie Gunner(tuskiegunner - level: 85),Tuskie Launcher(tuskielauncher - level: 70),Tuskie Thrower(tuskiethrower - level: 44),Tuskie Tosser(tuskietosser - level: 18),Albino Tusker(tuskeralbino-nofall - level: 27),Annihilator(tuskerannihilator-nofall - level: 285),Assailer(tuskerassailer-nofall - level: 115),Assailer(tuskerassailer_tusk - level: 115),Tusker Crimsonback(tuskercrimsonback-nofall - level: 26),Tusker Crimsonback(tuskercrimsonback_tusk - level: 26),Devastator(tuskerdevastator-nofall - level: 145),Devastator(tuskerdevastator_tusk - level: 145),Female Tusker(tuskerfemale-nofall - level: 18),Female Tusker(tuskerfemale_tusk - level: 18),Goldenback Tusker(tuskergoldenback-nofall - level: 28),Goldenback Tusker(tuskergoldenback_tusk - level: 28),Tusker Guard(tuskerguard_nofall - level: 85),Tusker Guard(tuskerguard_tusk - level: 85),Tusker Liberator(tuskerliberator_nofall - level: 70),Tusker Liberator(tuskerliberator_tusk - level: 70),Male Tusker(tuskermale-nofall - level: 21),Male Tusker(tuskermale_tusk - level: 21),Mowen Udaun(tuskermowen - level: 900),Rampager(tuskerrampager_tusk - level: 95),Tusker Redeemer(tuskerredeemer_nofall - level: 61),Tusker Redeemer(tuskerredeemer_tusk - level: 61),Silver Tusker(tuskersilver_nofall - level: 90),Silver Tusker(tuskersilver_tusk - level: 90),Tusker Slave(tuskerslave_nofall - level: 79),Tusker Slave(tuskerslave_tusk - level: 79),Tuskie Gunner(tuskiegunner_nofall - level: 85),Tuskie Launcher(tuskielauncher-nofall - level: 70),Tuskie Thrower(tuskiethrower-nofall - level: 44),Tuskie Tosser(tuskietosser-nofall - level: 18),Armored Tusker(tuskerarmored_nofall - level: 95),Armored Tusker(tuskerarmored_tusk - level: 95),Plated Tusker(tuskerplated_nofall - level: 105),Plated Tusker(tuskerplated_tusk - level: 105),Obliterator(tuskerobliterator - level: 900),Enraged Female Tusker(tuskerenragedfemale - level: 120),Enraged Male Tusker(tuskerenragedmale - level: 115),Assault Guard(tuskerassaultguard - level: 130),The Painbringer(tuskerpainbringer - level: 145),Annihilator(tuskerannihilatorforbidden - level: 285),Devastator(tuskerdevastatorforbidden - level: 145),Infected Assailer(tuskerinfectedassailer - level: 115),Banished Tusker(tuskerbossmid0205 - level: 85),
1,250	7,680	-1016	rattailswampxara	8223	6	5122	nantowashi	Swamp Rat(ratswampxara - level: 16),
2,500	7,680	-1016	rattailswampxara	8223	6	8229	xaracollector	Swamp Rat(ratswampxara - level: 16),
5,000	7,680	-1016	shrethhidelarge	8657	6	24576, 4213, 4214, 4215, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterviamontian	Vorous Shreth(shrethvorous - level: 16),
1,000	9,270	-1018	armoredillohidelarge	4234	6	24576, 4213, 4214, 4215, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterviamontian	Backpack(backpackhouse - level: 0),Bronze Armoredillo(armoredillobronze - level: 18),Sandy Armoredillo(armoredillosandy - level: 18),Freshwater Armoredillo(armoredillofreshwater - level: 25),Shore Armoredillo(armoredilloshore - level: 26),Hoary Armoredillo(armoredillohoary - level: 79),
3,000	9,270	-1018	aurochhornfire	7039	6	2607, 3925, 3926, 24575, 30443	glendenwoodalchemist, crafterivoryaluvian, crafterivorygharundim, crafterivorycandethkeep, crafterivoryviamontian	Auroch Fire Bull(aurochfirebull - level: 18),Master of the Herd(aurochbossmonster - level: 23),
2,500	9,270	-1018	lugiansinewamploth	7042	6	3917, 3918, 3920, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Amploth Raider(lugianamplothminer - level: 18),Lithos Raider(lugianlithosminer - level: 53),Obeloth Raider(lugianobelothminer - level: 44),Lithos Raider(lugianlithosraider - level: 53),Amploth Raider(lugianamplothraider - level: 39),Gotrok Amploth(lugianamplothrenegade - level: 21),Gotrok Lithos(lugianlithosrenegade - level: 35),Gotrok Obeloth(lugianobelothrenegade - level: 26),Obeloth Lugian(lugianobeloth - level: 26),Lithos Lugian(lugianlithos - level: 35),Amploth Lugian(lugianamploth - level: 21),Lithos Lugian(lugianbokrok - level: 35),Lithos Lugian(lugiankroktok - level: 35),
2,000	9,270	-1018	mattekarhide	4241	6	24576, 4213, 4214, 4215, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterviamontian	Aun Ralirea(tumerokchampionralirea_xp - level: 85),Great Mattekar(mattekargreat - level: 18),
2,500	9,270	-1018	mattekarhorngreat	7044	6	2607, 3925, 3926, 24575, 30443	glendenwoodalchemist, crafterivoryaluvian, crafterivorygharundim, crafterivorycandethkeep, crafterivoryviamontian	Great Mattekar(mattekargreat - level: 18),
2,500	9,270	-1018	sclavustongueaste	7046	6	3917, 3918, 3920, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Backpack(backpackhouse - level: 0),Aste Sclavus(sclavusaste - level: 18),Essa Sclavus(sclavusessa - level: 26),Sata Sclavus(sclavussata - level: 61),Ulu Sclavus(sclavusulu - level: 70),Faisi Sclavus(sclavusfaisi - level: 85),Chomu Sclavus(sclavuschomu - level: 95),Cold One(sclavusbossmonster - level: 110),Aste Sclavus Lord(sclavusastelord - level: 95),Chomu Sclavus Lord(sclavuschomulord - level: 120),Essa Sclavus Lord(sclavusessalord - level: 100),Faisi Sclavus Lord(sclavusfaisilord - level: 115),Sata Sclavus Lord(sclavussatalord - level: 110),Ulu Sclavus Lord(sclavusululord - level: 105),
2,000	9,270	-1018	spinebronze	3688	6	3917, 3918, 3920, 3931, 3932, 21338, 24215, 24216, 24573	collectoraluvian, collectorgharundim, collectorsho, trophysmithgharundim, trophysmithsho, collectorshoyanshidestroyed, collectorshoblackhill, trophysmithblackhill, collectorcandethkeep	Backpack(backpackhouse - level: 0),Bronze Armoredillo(armoredillobronze - level: 18),
1,000	9,270	-1018	spinesandy	3690	6	3917, 3918, 3920, 3931, 3932, 21338, 24215, 24216, 24573	collectoraluvian, collectorgharundim, collectorsho, trophysmithgharundim, trophysmithsho, collectorshoyanshidestroyed, collectorshoblackhill, trophysmithblackhill, collectorcandethkeep	Sandy Armoredillo(armoredillosandy - level: 18),
500	11,000	-1020	tumerokinsignia	3695	6	3922, 11809, 11810, 11811	collectortumerokaluvian, collectorbanneralu, collectorbannergha, collectorbannersho	High Tumerok(tumerokcaptain - level: 53),Tumerok High Priest(tumerokhighpriest - level: 95),Tumerok Officer(tumeroklieutenant - level: 44),Tumerok Taskmaster(tumerokoverlord - level: 85),Tumerok Major(tumerokkeyb - level: 79),Augmented Tumerok(tumerokkeye - level: 90),Tumerok High Priest(tumerokkeyg - level: 95),Tumerok Officer(tumeroklieutenantarcher - level: 44),High Tumerok(tumerokcaptainarcher - level: 53),Tumerok High Priest(tumerokhighpriestarcher - level: 95),High Tumerok(tumerokcaptainnofall - level: 53),Tumerok High Priest(tumerokhighpriestarchernofall - level: 95),Tumerok High Priest(tumerokhighpriestnofall - level: 95),Tumerok Officer(tumeroklieutenantarchernofall - level: 44),Tumerok Officer(tumeroklieutenantnofall - level: 44),Tumerok Guard(tumerokdryreachguard - level: 67),Tumerok Shaman(tumerokshaman - level: 20),Ascendant Tumerok(tumerokascendant - level: 100),Augmented Tumerok(tumerokaugmented - level: 90),Augmented Tumerok(tumerokaugmentedsummoned - level: 96),Tumerok Commander(tumerokattackgromnie - level: 53),Tumerok Commander(tumerokattackmask - level: 53),Tumerok Standard Bearer(tumerokbannergromnie - level: 26),Tumerok Standard Bearer(tumerokbannermask - level: 26),High Tumerok(tumerokcaptainhighhaft - level: 53),Cragstone Camp Major(tumerokcragstonecampb - level: 35),Cragstone Camp Commander(tumerokcragstonecampc - level: 65),Tumerok Controller(tumerokcrestgromnie - level: 53),Tumerok Controller(tumerokcrestmask - level: 53),Hebian-To Camp Major(tumerokhebiancampb - level: 35),Hebian-To Camp Commander(tumerokhebiancampc - level: 65),Tumerok High Priest(tumerokhighpriestgromnie - level: 95),Tumerok Officer(tumeroklieutenanthaft - level: 44),Tumerok Taskmaster(tumerokoverlordgromnie - level: 85),Zaikhal Camp Major(tumerokzaikhalcampb - level: 35),Zaikhal Camp Commander(tumerokzaikhalcampc - level: 65),Tumerok High Priest(tumerokoghamhighpriest - level: 45),Tumerok Major(tumerokmajor - level: 79),Tumerok War Monger(tumerokwarmonger - level: 125),Tumerok Champion(tumerokchampion - level: 105),Banished Tumerok(tumerokbossmid0205 - level: 85),
2,000	11,920	-1021	lichthighbone	7041	6	3925, 3926, 24575, 30443	crafterivoryaluvian, crafterivorygharundim, crafterivorycandethkeep, crafterivoryviamontian	Lich(zombielich - level: 21),Revenant(zombierevenant - level: 61),Guardian of the Lost Light(lostlightguardian - level: 61),Revenant(undeadspecial - level: 61),Wari al Sha'im(undeaddefender - level: 30),Lich Lord(zombielichlord - level: 44),High Acolyte(zombiesoulfearingacolytearea3 - level: 44),Lich Lord(zombielichlordnofall - level: 44),Revenant(zombierevenantnofall - level: 61),Lich(zombielichsoulfearing_melee - level: 21),Revenant(zombierevenantmeditate - level: 61),Risen Soldier(zombierisen - level: 32),Falatacot Missionary(bossdeedmid - level: 55),Lich(zombielich-nofall - level: 21),Zombie(zombiehauntedmansionscrollboss - level: 44),
4,000	11,920	-1021	niffisorb	10705	6	3925, 3926, 24575, 30443	crafterivoryaluvian, crafterivorygharundim, crafterivorycandethkeep, crafterivoryviamontian	Glissnal Niffis(niffisglissnal - level: 21),Opor Niffis(niffisopor - level: 61),Opor Niffis(niffisehlyis - level: 61),
3,000	15,940	-1025	spinegrey	3689	6	3917, 3918, 3920, 3931, 3932, 21338, 24215, 24216, 24573	collectoraluvian, collectorgharundim, collectorsho, trophysmithgharundim, trophysmithsho, collectorshoyanshidestroyed, collectorshoblackhill, trophysmithblackhill, collectorcandethkeep	Freshwater Armoredillo(armoredillofreshwater - level: 25),
1,500	17,030	-1026	golemheartsand-xp	11352	6	11346	easternshorecollector_xp	Sand Golem(golemsand_xp - level: 26),Small Sand Golem(golemsandmini - level: 100),
5,000	17,030	-1026	gromnietoothash	3674	6	3925, 3926, 24575, 30443	crafterivoryaluvian, crafterivorygharundim, crafterivorycandethkeep, crafterivoryviamontian	Backpack(backpackhouse - level: 0),Ash Gromnie(gromnieash - level: 26),Adolescent Ash Gromnie(gromnieashadolescent - level: 161),
