id	classname	curr	new	AL	category	coverage
23828	breastplatekoujiashadowhardened	1675	1250	260	Medium	1
23829	breastplatekoujiashadowplated	1675	1250	260	Medium	1
23830	breastplatekoujiashadowscored	1675	1250	260	Medium	1
23831	breastplatekoujiashadowseared	1675	1250	260	Medium	1
23832	breastplatekoujiashadowsolid	1675	1250	260	Medium	1
23833	leggingskoujiashadowbrilliant	2700	1500	260	Medium	3
23834	leggingskoujiashadowcharged	2700	1500	260	Medium	3
23835	leggingskoujiashadowchilled	2700	1500	260	Medium	3
23836	leggingskoujiashadowhardened	2700	1500	260	Medium	3
23837	leggingskoujiashadowplated	2700	1500	260	Medium	3
23838	leggingskoujiashadowscored	2700	1500	260	Medium	3
23839	leggingskoujiashadowseared	2700	1500	260	Medium	3
23840	leggingskoujiashadowsolid	2700	1500	260	Medium	3
23841	sleeveskoujiashadowbrilliant	925	1000	260	Medium	2
23842	sleeveskoujiashadowcharged	925	1000	260	Medium	2
23843	sleeveskoujiashadowchilled	925	1000	260	Medium	2
23844	sleeveskoujiashadowhardened	925	1000	260	Medium	2
23845	sleeveskoujiashadowplated	925	1000	260	Medium	2
23846	sleeveskoujiashadowscored	925	1000	260	Medium	2
23847	sleeveskoujiashadowseared	925	1000	260	Medium	2
23848	sleeveskoujiashadowsolid	925	1000	260	Medium	2
23881	bootsfish	200	200	150	Medium	1
24057	bootsfish-ulgrim	200	200	150	Medium	1
24058	bunnyslippers-ulgrim	350	100	10	Light	1
24137	solleretsdusty	540	800	100	Heavy	1
24173	leggingsjaleh	975	900	200	Light	1
24174	shirtchainjaleh	240	1800	210	Heavy	3
24268	sleevesolthoifighter	600	800	50	Heavy	2
24615	bracersolthoihigh	400	2000	450	Very Heavy	1
24616	bracersolthoimid	300	2000	400	Very Heavy	1
24617	breastplateolthoihigh	1700	5000	450	Very Heavy	1
24618	breastplateolthoimid	1600	5000	400	Very Heavy	1
24619	gauntletsolthoihigh	750	1000	450	Very Heavy	1
24620	gauntletsolthoimid	650	1000	400	Very Heavy	1
24621	girtholthoihigh	800	2000	450	Very Heavy	1
24622	girtholthoimid	700	2000	400	Very Heavy	1
24623	greavesolthoihigh	900	2000	450	Very Heavy	1
24624	greavesolthoimid	800	2000	400	Very Heavy	1
24625	helmolthoibroodqueenhigh	450	3000	450	Very Heavy	1
24626	helmolthoibroodqueenmid	350	3000	400	Very Heavy	1
24627	pauldronsolthoihigh	600	2000	450	Very Heavy	1
24628	pauldronsolthoimid	500	2000	400	Very Heavy	1
24629	solleretsolthoihigh	600	2000	450	Very Heavy	1
24630	solleretsolthoimid	500	2000	400	Very Heavy	1
24631	tassetsolthoihigh	800	2000	450	Very Heavy	1
24632	tassetsolthoimid	700	2000	400	Very Heavy	1
24879	maskvirindiprofanenew	300	150	220	Light	1
24889	bracersolthoiextreme	600	2000	500	Very Heavy	1
24890	bracersoltholow	200	2000	300	Very Heavy	1
24891	breastplateolthoiextreme	1900	5000	500	Very Heavy	1
24892	breastplateolthoilow	1500	5000	300	Very Heavy	1
24893	gauntletsolthoiextreme	950	1000	500	Very Heavy	1
24894	gauntletsolthoilow	550	1000	300	Very Heavy	1
24895	girtholthoiextreme	1000	2000	500	Very Heavy	1
24896	girtholthoilow	600	2000	300	Very Heavy	1
24897	greavesolthoiextreme	1100	2000	500	Very Heavy	1
24898	greavesolthoilow	700	2000	300	Very Heavy	1
24899	helmolthoibroodqueenextreme	550	3000	500	Very Heavy	1
24900	helmolthoibroodqueenlow	250	3000	300	Very Heavy	1
24901	pauldronsolthoiextreme	700	2000	500	Very Heavy	1
24902	pauldronsolthoilow	400	2000	300	Very Heavy	1
24903	solleretsolthoiextreme	700	2000	500	Very Heavy	1
24904	solleretsolthoilow	400	2000	300	Very Heavy	1
24905	tassetsolthoiextreme	900	2000	500	Very Heavy	1
24906	tassetsolthoilow	250	2000	300	Very Heavy	1
24945	breastplateceldonantius	2400	2500	110	Heavy	1
24946	gauntletsceldonantius	919	500	100	Heavy	1
24947	girthceldonantius	1248	1000	110	Heavy	1
24948	helmceldonantius	666	1500	100	Heavy	1
24949	leggingsceldonantius	2400	2000	110	Heavy	2
24950	solleretsceldonantius	540	1000	100	Heavy	1
24956	sleevesceldonantius	600	2000	50	Heavy	2
25313	bootswalking	250	200	300	Medium	1
25335	maskvirindiconsul	300	150	250	Light	1
25336	regaliaaluvianextreme	800	600	300	Light	1
25337	regaliagharundimextreme	600	600	300	Light	1
25338	regaliashoextreme	700	600	300	Light	1
25522	capskulldark	125	150	250	Light	1
25523	coatshrethrendeath	850	550	250	Light	4
25524	cuirassarmoredilloplate	1150	1400	240	Heavy	2
25525	helmolthoimutilator	600	1200	300	Heavy	1
25526	helmskeletal	350	300	220	Medium	1
25527	leggingsshrethgauloth	750	600	230	Medium	3
25554	maskknath	30	150	10	Light	1
25555	maskmoarsman	30	150	10	Light	1
25556	maskscareminion	30	150	10	Light	1
25636	basinetleathernew	330	150	40	Light	1
25637	bracersleathernew	270	100	20	Light	1
25638	breastplateleathernew	420	250	20	Light	1
25639	coatleathernew	810	550	20	Light	4
25640	cowlleathernew	188	75	20	Light	1
25641	cuirassleathernew	540	350	20	Light	2
25642	gauntletsleathernew	270	50	20	Light	1
25643	girthleathernew	270	100	20	Light	1
25644	greavesleathernew	420	100	20	Light	1
25645	leggingsleathernew	960	200	20	Light	2
25646	longgauntletsleathernew	270	150	20	Light	2
25647	pantsleathernew	960	300	20	Light	3
25648	pauldronsleathernew	420	100	20	Light	1
25649	shirtleathernew	810	450	20	Light	3
25650	shortsleathernew	270	200	20	Light	2
25651	sleevesleathernew	540	200	20	Light	2
25652	tassetsleathernew	420	100	20	Light	1
25661	bootsleathernew	420	100	20	Light	1
25839	coatdoomshark	1050	700	310	Light	5
25840	jerkinsnarl	825	450	330	Light	3
25841	leggingsscourge	975	600	340	Medium	3
25953	cowlsand	800	500	220	Light	3
25954	regaliagharundimmagic	600	600	230	Light	1
25955	regaliagharundimmelee	600	600	230	Light	1
25956	regaliagharundimmissile	600	600	230	Light	1
26006	heaumeicefrorenew	650	1200	275	Heavy	1
26501	shirtfalatacot1	550	1400	240	Medium	2
26502	shirtfalatacot2	550	1400	360	Medium	2
26503	shirtfalatacot3	550	1400	440	Medium	2
27087	hauberkbastionnew	2000	4400	210	Heavy	4
27088	helmcragnew	900	450	300	Light	1
27090	sleevesinexhaustibilitynew	270	200	210	Light	2
27128	bracerfalatacot1	250	400	240	Medium	1
27129	bracerfalatacot2	250	400	360	Medium	1
27130	bracerfalatacot3	250	200	440	Medium	1
27215	coatchiran	1665	1350	90	Light	3
27216	gauntletschiran	919	150	100	Light	1
27217	helmchiran	533	450	100	Light	1
27218	leggingschiran	3188	900	90	Light	3
27219	sandalschiran	540	300	100	Light	1
27220	bootslorica	540	500	100	Medium	1
27221	breastplatelorica	1415	1250	95	Medium	1
27222	gauntletslorica	919	250	100	Medium	1
27223	helmlorica	533	750	100	Medium	1
27224	leggingslorica	2247	1500	95	Medium	3
27225	sleeveslorica	1375	1000	95	Medium	2
27226	bootsnariyid	540	1000	100	Heavy	1
27227	breastplatenariyid	2400	2500	110	Heavy	1
27228	gauntletsnariyid	919	500	100	Heavy	1
27229	girthnariyid	1248	1000	110	Heavy	1
27230	helmnariyid	533	1500	100	Heavy	1
27231	leggingsnariyid	2400	2000	110	Heavy	2
27232	sleevesnariyid	1400	2000	110	Heavy	2
27407	girthdrudgefight	450	400	165	Medium	1
27453	hauberklugianrenegade	1550	4400	380	Heavy	4
27454	leggingslugianrenegade	1550	1600	380	Heavy	2
27651	breastplaterenegadegeneral	800	1000	310	Medium	1
27652	helmrenegadegeneral	950	1200	310	Heavy	1
27888	girthmirewitch	250	200	185	Medium	1
27909	bootshizkri1	225	200	260	Medium	1
27910	bootshizkri2	225	200	360	Medium	1
27911	bootshizkri3	225	200	440	Medium	1
27912	gauntletshizkri1	225	200	260	Medium	1
27913	gauntletshizkri2	225	200	360	Medium	1
27914	gauntletshizkri3	225	200	440	Medium	1
28142	bootsgromniehide	375	400	100	Medium	1
28143	bootsgromniewinged	375	400	290	Medium	1
28144	coatamuligromniehide	1200	1350	250	Light	3
28145	coatamuligromniehideheavy	1600	1350	280	Light	3
28146	coatgromniehide	900	1350	150	Light	3
28147	coatgromniewinged	900	1350	290	Light	3
28148	gauntletsgromniehide	200	50	100	Light	1
28149	helmetgromniehide	375	300	120	Medium	1
28150	helmetgromniewinged	375	300	290	Medium	1
28151	leggingsamuligromniehide	1200	900	250	Light	3
28152	leggingsgromniehideheavy	1200	900	280	Light	3
28153	leggingsgromniewinged	900	900	290	Light	3
28162	pantsgromniehide	900	300	150	Light	3
28337	leggingkiviklir1	750	800	240	Medium	2
28338	leggingkiviklir2	750	800	360	Medium	2
28339	leggingkiviklir3	750	800	440	Medium	2
28862	maskburunguruk	150	150	10	Light	1
28863	maskburunruuk	150	150	10	Light	1
28864	maskchittick	150	150	10	Light	1
28865	maskmite	150	150	10	Light	1
28866	peglegleft	200	200	10	Light	2
28868	peglegright	200	200	10	Light	2
28869	peglegs	200	200	10	Light	2
29514	coatnoble	1250	3600	400	Heavy	3
29515	coatnoblecoordination	1250	3600	400	Heavy	3
29516	coatnobleendurance	1250	3600	400	Heavy	3
29517	coatnoblefocus	1250	3600	400	Heavy	3
29518	coatnoblequickness	1250	3600	400	Heavy	3
29519	coatnobleself	1250	3600	400	Heavy	3
29520	coatnoblestrength	1250	3600	400	Heavy	3
29521	gauntletsnoble	150	200	400	Heavy	1
29522	guantletsnoblecoordination	150	200	400	Heavy	1
29523	guantletsnobleendurance	150	200	400	Heavy	1
29524	guantletsnoblefocus	150	200	400	Heavy	1
29525	guantletsnoblequickness	150	200	400	Heavy	1
29526	guantletsnobleself	150	200	400	Heavy	1
29527	guantletsnoblestrength	150	200	400	Heavy	1
29528	helmnoble	350	1200	400	Heavy	1
29529	helmnoblecoordination	350	1200	400	Heavy	1
29530	helmnobleendurance	350	1200	400	Heavy	1
29531	helmnoblefocus	350	1200	400	Heavy	1
29532	helmnoblequickness	350	1200	400	Heavy	1
29533	helmnobleself	350	1200	400	Heavy	1
29534	helmnoblestrength	350	1200	400	Heavy	1
29535	leggingsnoble	1150	2400	400	Heavy	3
29536	leggingsnoblecoordination	1150	2400	400	Heavy	3
29537	leggingsnobleendurance	1150	2400	400	Heavy	3
29538	leggingsnoblefocus	1150	2400	400	Heavy	3
29539	leggingsnoblequickness	1150	2400	400	Heavy	3
29540	leggingsnobleself	1150	2400	400	Heavy	3
29541	leggingsnoblestrength	1150	2400	400	Heavy	3
29545	solleretsnoble	450	800	400	Heavy	1
29546	solleretsnoblecoordination	450	800	400	Heavy	1
29547	solleretsnobleendurance	450	800	400	Heavy	1
29548	solleretsnoblefocus	450	800	400	Heavy	1
29549	solleretsnoblequickness	450	800	400	Heavy	1
29550	solleretsnobleself	450	800	400	Heavy	1
29551	solleretsnoblestrength	450	800	400	Heavy	1
30262	helmqinxikit1	350	600	240	Medium	1
30263	helmqinxikit2	350	600	360	Medium	1
30264	helmqinxikit3	350	600	440	Medium	1
30393	girthflameprotection	250	100	230	Light	1
30645	aviatorscap	210	150	275	Light	1
42121	ace42121-platemailhauberkoftheogre	3596	4400	120	Heavy	4
50016	helmbutcherold	600	1200	270	Heavy	1
